activity_type,company_name,full_name,job_title,email,phone,address,city,state,country,zip_code,industry,nature_of_business,engagement_level,company_size,company_revenue,last_activity,content_name,asset_description,booth_scan_notes,consent_statement_served,consent_response
Badge Scan,Obsidian Tech,Julie Reyes,Security Consultant,julier@obsidiantech.io,(343) 632-4006,4663 Market St,Austin,TX,United States  ,78701,Insurance Carriers,Insurance Carriers,Low,101-500,More Than $10B,2026-06-10 09:46:56,Defensive AI Security Panel,,,Delegate acknowledged event terms,Acknowledged
Exhibitor Bookmarked,Pinnacle Software,Gerald Johnson,Cloud Architect,geraldj@pinnaclesoft.io,(202) 599-5345,7554 Lake St,Toronto,Ontario,Canada,M5A,Activities Related To Credit Intermediation,Activities Related To Credit Intermediation,High,Unavailable,$10M-$50M,2026-06-10 11:27:25,Zero Trust Architecture Deep Dive,,,Delegate acknowledged event terms,Acknowledged
Badge Scan,Harbor IT,Sharon Davis,Director of IT Security,sdavis@harborit.net,+8 620-2312,3144 Elm St,Mexico City,CDMX,Mexico,06600,Wired And Wireless Telecommunications Carriers,Wired And Wireless Telecommunications Carriers,Very High,101-500,$50M-$100M,2026-06-10 15:21:01,Hacking The AI Stack: Live Red Team Demo,,,Delegate consented to badge scan,Accepted
Badge Scan,Harbor IT,Sara Young,Red Team Lead,sara@harborit.co,(409) 885-6147,4010 Park Ave,Calgary,Alberta,Canada,T2P,Motor Vehicle Manufacturing,Motor Vehicle Manufacturing,High,501-1K,$100M-$500M,2026-06-10 16:19:24,Cloud Security Posture Management Demo,,,Delegate consented to badge scan,Accepted
Badge Scan,Sapphire Systems,Christopher Johnson,Systems Administrator,cjohnson@sapphiresyst.io,(578) 491-3584,7279 Spring St,Montreal,Quebec,Canada,H2X,Depository Credit Intermediation,Depository Credit Intermediation,Medium,1-100,Unavailable,2026-06-10 13:27:00,Hacking The AI Stack: Live Red Team Demo,,,Delegate consented to badge scan,Accepted
Exhibitor Bookmarked,Cipher Defense,Andrew King,Security Awareness Manager,andrewk@cipherdefens.org,(457) 252-2512,7039 Park Ave,Denver,CO,United States  ,80201,Pharmaceutical And Medicine Manufacturing,Pharmaceutical And Medicine Manufacturing,Very Low,1-100,$500M-$1B,2026-06-10 10:22:53,Zero Trust Architecture Deep Dive,,,Delegate acknowledged event terms,Acknowledged
Content Download,Keystone Digital,Michelle Patel,SOC Manager,michelle@keystonedigi.co,+75 665-3426,7141 River Rd,Belo Horizonte,MG,Brazil,30130,"Architectural, Engineering, And Related Services","Architectural, Engineering, And Related Services",Very Low,5K-10K,$500M-$1B,2026-06-10 08:43:34,Cloud Security Posture Management Demo,,,Delegate consented to badge scan,Accepted
Product View,Cobalt Security,Rebecca Mendoza,Third Party Risk Manager,rebeccam@cobaltsecuri.io,(225) 383-6442,6845 Cedar Blvd,Denver,CO,United States  ,80201,"Architectural, Engineering, And Related Services","Architectural, Engineering, And Related Services",Medium,501-1K,$1M-$10M,2026-06-10 14:57:50,Defensive AI Security Panel,,,Delegate acknowledged event terms,Acknowledged
Product View,Atlas Computing,Ethan Lewis,IAM Specialist,ethan@atlascomputi.net,+9 891-5573,5853 Church St,Stockholm,Stockholm,Sweden,11120,Aerospace Product And Parts Manufacturing,Aerospace Product And Parts Manufacturing,High,10K-50K,Less Than $1M,2026-06-10 10:05:59,Zero Trust Architecture Deep Dive,,,Delegate consented to badge scan,Accepted
Badge Scan,Titan Systems,Amanda Howard,Network Security Engineer,amanda.howard@titansystems.org,(594) 790-4114,4273 Oak Ave,Chicago,IL,United States  ,60601,Motor Vehicle Manufacturing,Motor Vehicle Manufacturing,High,1-100,Unavailable,2026-06-10 17:48:07,AI-Powered SOC Walkthrough,,,Delegate acknowledged event terms,Acknowledged
Product View,Orion Networks,Janet Parker,Systems Administrator,janet@orionnetwork.org,+71 230-4143,6988 Forest Ave,Sydney,NSW,Australia,2000,Educational Services,Educational Services,Low,5K-10K,$1B-$10B,2026-06-10 17:58:29,Defensive AI Security Panel,,,Delegate acknowledged event terms,Acknowledged
Product View,Polaris AI,Nicole Torres,Chief Privacy Officer,nicole.torres@polarisai.io,+37 627-6491,1630 Cedar Blvd,Seoul,Seoul,South Korea,04524,General Medical And Surgical Hospitals,General Medical And Surgical Hospitals,Medium,1K-5K,$50M-$100M,2026-06-10 10:40:56,Defensive AI Security Panel,,,Delegate acknowledged event terms,Acknowledged
Badge Scan,Aegis Solutions,Barbara Young,Email Security Analyst,byoung@aegissolutio.net,(351) 871-1090,1846 Mission St,Montreal,Quebec,Canada,H2X,General Medical And Surgical Hospitals,General Medical And Surgical Hospitals,Low,501-1K,Unavailable,2026-06-10 16:27:24,Defensive AI Security Panel,,,Delegate acknowledged event terms,Acknowledged
Exhibitor Bookmarked,Cipher Defense,Harold Young,Chief Privacy Officer,haroldy@cipherdefens.co,+21 861-8777,7473 Park Ave,Stockholm,Stockholm,Sweden,11120,General Medical And Surgical Hospitals,General Medical And Surgical Hospitals,Low,5K-10K,Unavailable,2026-06-10 16:49:18,AI-Powered SOC Walkthrough,,,Delegate acknowledged event terms,Acknowledged
Exhibitor Bookmarked,Orion Networks,Stephen Cruz,VP Engineering,scruz@orionnetwork.com,+50 810-3503,3605 Elm St,Berlin,Berlin,Germany,10115,Pharmaceutical And Medicine Manufacturing,Pharmaceutical And Medicine Manufacturing,High,50K+,$500M-$1B,2026-06-10 17:52:40,Threat Intelligence Briefing,,,Delegate acknowledged event terms,Acknowledged
Content Download,Polaris AI,Nathan Davis,Email Security Analyst,nathan@polarisai.com,+97 499-7865,8918 Spring St,Tel Aviv,Tel Aviv,Israel,6100000,Scientific Research And Development Services,Scientific Research And Development Services,Very High,1K-5K,More Than $10B,2026-06-10 11:59:40,Zero Trust Architecture Deep Dive,,,Delegate consented to badge scan,Accepted
Product View,Apex Digital,Virginia Morales,Data Protection Officer,virginiam@apexdigital.com,+76 677-1444,1475 Mission St,Sao Paulo,SP,Brazil,01310,"Accounting, Tax Preparation, Bookkeeping, And Payroll Services","Accounting, Tax Preparation, Bookkeeping, And Payroll Services",Low,Unavailable,$10M-$50M,2026-06-10 08:54:55,Zero Trust Architecture Deep Dive,,,Delegate consented to badge scan,Accepted
Product View,Polaris AI,Maria Adams,Risk Analyst,maria.adams@polarisai.net,+96 652-1853,5833 Cedar Blvd,Stockholm,Stockholm,Sweden,11120,Wired And Wireless Telecommunications Carriers,Wired And Wireless Telecommunications Carriers,Very Low,1-100,Less Than $1M,2026-06-10 12:30:05,AI-Powered SOC Walkthrough,,,Delegate acknowledged event terms,Acknowledged
Exhibitor Bookmarked,Sentinel Corp,Jennifer Richardson,Email Security Analyst,jrichardson@sentinelcorp.net,(820) 821-2876,2783 Lake St,Toronto,Ontario,Canada,M5A,"Electric Power Generation, Transmission And Distribution","Electric Power Generation, Transmission And Distribution",Very Low,1-100,$100M-$500M,2026-06-10 14:49:56,XDR Platform Overview,,,Delegate consented to badge scan,Accepted
Badge Scan,Harbor IT,Ronald Martinez,Email Security Analyst,ronald@harborit.co,(270) 718-6590,307 Mission St,Toronto,Ontario,Canada,M5A,Aerospace Product And Parts Manufacturing,Aerospace Product And Parts Manufacturing,High,101-500,$1B-$10B,2026-06-10 14:35:36,Threat Intelligence Briefing,,,Delegate consented to badge scan,Accepted
Product View,Meridian Data,Donna Parker,Data Protection Officer,dparker@meridiandata.co,+12 385-8385,4095 Market St,Bangalore,Karnataka,India,560001,Motor Vehicle Manufacturing,Motor Vehicle Manufacturing,Very High,50K+,$500M-$1B,2026-06-10 08:31:20,Threat Intelligence Briefing,,,Delegate acknowledged event terms,Acknowledged
Product View,Helix Technologies,Katherine White,Risk Analyst,kwhite@helixtechnol.org,(287) 447-7658,8104 Spring St,Washington,DC,United States  ,20001,Pharmaceutical And Medicine Manufacturing,Pharmaceutical And Medicine Manufacturing,Low,Unavailable,More Than $10B,2026-06-10 16:09:31,Defensive AI Security Panel,,,Delegate acknowledged event terms,Acknowledged
Exhibitor Bookmarked,Zenith Labs,Nancy Nguyen,Cloud Architect,nancy@zenithlabs.org,+46 819-8434,4538 Lake St,Amsterdam,North Holland,Netherlands,1012,Aerospace Product And Parts Manufacturing,Aerospace Product And Parts Manufacturing,Medium,1K-5K,$1M-$10M,2026-06-10 11:30:21,Cloud Security Posture Management Demo,,,Delegate acknowledged event terms,Acknowledged
Exhibitor Bookmarked,Marble Data,Donald Myers,Risk Analyst,donald.myers@marbledata.co,(398) 503-4727,6012 Pine Ln,Miami,FL,United States  ,33101,Other Information Services,Other Information Services,Medium,1-100,Unavailable,2026-06-10 10:18:15,Zero Trust Architecture Deep Dive,,,Delegate acknowledged event terms,Acknowledged
Exhibitor Bookmarked,Beacon Networks,Barbara Miller,CISO,barbaram@beaconnetwor.net,+44 288-1841,4236 Broadway,Berlin,Berlin,Germany,10115,"Electric Power Generation, Transmission And Distribution","Electric Power Generation, Transmission And Distribution",Very Low,101-500,$1B-$10B,2026-06-10 16:57:07,Hacking The AI Stack: Live Red Team Demo,,,Delegate consented to badge scan,Accepted
Exhibitor Bookmarked,Drift Security,Madison Watson,Cloud Security Engineer,mwatson@driftsecurit.com,(994) 735-7232,7481 Market St,Austin,TX,United States  ,78701,"Management, Scientific, And Technical Consulting Services","Management, Scientific, And Technical Consulting Services",Medium,50K+,$100M-$500M,2026-06-10 09:05:47,Not Applicable,,,Delegate acknowledged event terms,Acknowledged
Product View,Polaris AI,Betty Ross,GRC Manager,betty.ross@polarisai.io,(618) 661-8699,4871 Oak Ave,Washington,DC,United States  ,20001,Depository Credit Intermediation,Depository Credit Intermediation,Low,5K-10K,$100M-$500M,2026-06-10 16:15:55,Hacking The AI Stack: Live Red Team Demo,,,Delegate consented to badge scan,Accepted
Exhibitor Bookmarked,Radiant Software,Cynthia King,Product Security Lead,cynthia.king@radiantsoftw.io,+8 269-6039,9849 Washington Ave,Birmingham,England,United Kingdom Of Great Britain And Northern Ireland (The),B1,Activities Related To Credit Intermediation,Activities Related To Credit Intermediation,Medium,Unavailable,$1M-$10M,2026-06-10 16:31:56,Zero Trust Architecture Deep Dive,,,Delegate consented to badge scan,Accepted
Content Download,Stratos Computing,Ruth Wright,Security Awareness Manager,ruth@stratoscompu.org,+4 193-4750,9524 Washington Ave,Mexico City,CDMX,Mexico,06600,General Medical And Surgical Hospitals,General Medical And Surgical Hospitals,Very Low,5K-10K,Less Than $1M,2026-06-10 11:11:21,Threat Intelligence Briefing,,,Delegate consented to badge scan,Accepted
Exhibitor Bookmarked,Keystone Digital,Terry Wood,IT Manager,terry@keystonedigi.org,+42 786-2713,2734 Hill Rd,London,England,United Kingdom Of Great Britain And Northern Ireland (The),EC1,Scientific Research And Development Services,Scientific Research And Development Services,High,Unavailable,$100M-$500M,2026-06-10 15:17:24,Container Security Workshop,,,Delegate acknowledged event terms,Acknowledged
Product View,Pinnacle Software,Elizabeth Collins,Malware Analyst,elizabethc@pinnaclesoft.net,+7 292-9494,6027 Lincoln Blvd,Tokyo,Tokyo,Japan,100-0001,Wired And Wireless Telecommunications Carriers,Wired And Wireless Telecommunications Carriers,High,Unavailable,Less Than $1M,2026-06-10 11:42:20,Zero Trust Architecture Deep Dive,,,Delegate consented to badge scan,Accepted
Content Download,Forge Digital,Carl Taylor,Security Awareness Manager,carl.taylor@forgedigital.io,+71 517-2527,3781 Harbor Dr,Dubai,Dubai,United Arab Emirates,00000,Educational Services,Educational Services,High,101-500,$10M-$50M,2026-06-10 17:04:21,Zero Trust Architecture Deep Dive,,,Delegate consented to badge scan,Accepted
Content Download,Nova Platforms,Roger Price,Data Protection Officer,rprice@novaplatform.io,+9 382-7798,5668 Church St,Tel Aviv,Tel Aviv,Israel,6100000,"Electric Power Generation, Transmission And Distribution","Electric Power Generation, Transmission And Distribution",Medium,1-100,$100M-$500M,2026-06-10 13:26:06,Not Applicable,,,Delegate consented to badge scan,Accepted
Content Download,Helix Technologies,Lawrence James,Network Security Engineer,lawrencej@helixtechnol.net,(529) 393-4912,9468 Forest Ave,Phoenix,AZ,United States  ,85001,"Architectural, Engineering, And Related Services","Architectural, Engineering, And Related Services",Low,50K+,Less Than $1M,2026-06-10 13:47:32,Threat Intelligence Briefing,,,Delegate acknowledged event terms,Acknowledged
Content Download,Coral Systems,Maria Roberts,Systems Administrator,maria.roberts@coralsystems.co,(738) 667-1251,2461 Mission St,Phoenix,AZ,United States  ,85001,Insurance Carriers,Insurance Carriers,Low,101-500,More Than $10B,2026-06-10 12:49:28,Cloud Security Posture Management Demo,,,Delegate consented to badge scan,Accepted
Content Download,Pinnacle Software,Diane Wood,Product Security Lead,diane@pinnaclesoft.com,+30 864-2480,7210 Harbor Dr,Sydney,NSW,Australia,2000,Wired And Wireless Telecommunications Carriers,Wired And Wireless Telecommunications Carriers,Very Low,Unavailable,$10M-$50M,2026-06-10 13:27:05,Defensive AI Security Panel,,,Delegate acknowledged event terms,Acknowledged
Product View,Quantum Systems,Barbara Adams,Threat Intelligence Analyst,badams@quantumsyste.co,+22 279-2293,6367 Lincoln Blvd,Berlin,Berlin,Germany,10115,"Data Processing, Hosting, And Related Services","Data Processing, Hosting, And Related Services",Low,Unavailable,$10M-$50M,2026-06-10 12:13:36,Threat Intelligence Briefing,,,Delegate acknowledged event terms,Acknowledged
Content Download,Titan Systems,Angela Collins,Security Architect,angelac@titansystems.org,(906) 456-8484,5049 Maple Dr,New York,NY,United States  ,10001,Aerospace Product And Parts Manufacturing,Aerospace Product And Parts Manufacturing,High,Unavailable,$1M-$10M,2026-06-10 12:19:05,XDR Platform Overview,,,Delegate consented to badge scan,Accepted
Product View,Trident Systems,Arthur Rivera,Risk Analyst,arthurr@tridentsyste.co,+37 894-4770,5872 Cedar Blvd,Berlin,Berlin,Germany,10115,Computer Systems Design And Related Services,Computer Systems Design And Related Services,Low,5K-10K,$10M-$50M,2026-06-10 09:46:07,Defensive AI Security Panel,,,Delegate acknowledged event terms,Acknowledged
Product View,Vertex Solutions,Helen Cruz,IT Director,hcruz@vertexsoluti.net,+70 997-6994,8797 Church St,Birmingham,England,United Kingdom Of Great Britain And Northern Ireland (The),B1,"Management, Scientific, And Technical Consulting Services","Management, Scientific, And Technical Consulting Services",Medium,501-1K,$100M-$500M,2026-06-10 16:46:18,Zero Trust Architecture Deep Dive,,,Delegate consented to badge scan,Accepted
Exhibitor Bookmarked,Sapphire Systems,Alexander Anderson,Endpoint Security Engineer,alexander@sapphiresyst.net,(749) 326-8451,6138 Park Ave,Seattle,WA,United States  ,98101,"Securities, Commodity Contracts, And Other Financial Investments","Securities, Commodity Contracts, And Other Financial Investments",Very High,50K+,$500M-$1B,2026-06-10 09:58:20,AI-Powered SOC Walkthrough,,,Delegate acknowledged event terms,Acknowledged
Product View,Pylon Solutions,Ethan Brown,Security Architect,ebrown@pylonsolutio.org,+6 138-5986,8171 Harbor Dr,Belo Horizonte,MG,Brazil,30130,Motor Vehicle Manufacturing,Motor Vehicle Manufacturing,Very Low,1K-5K,Unavailable,2026-06-10 10:28:10,XDR Platform Overview,,,Delegate consented to badge scan,Accepted
Content Download,Coral Systems,Kyle Mitchell,Red Team Lead,kyle@coralsystems.co,+5 806-7070,3659 Market St,Mexico City,CDMX,Mexico,06600,Scientific Research And Development Services,Scientific Research And Development Services,High,1K-5K,$500M-$1B,2026-06-10 09:48:31,Cloud Security Posture Management Demo,,,Delegate consented to badge scan,Accepted
Content Download,Sterling Systems,Gloria Chavez,SOC Manager,gloria.chavez@sterlingsyst.net,(251) 541-4990,2163 Washington Ave,Austin,TX,United States  ,78701,Pharmaceutical And Medicine Manufacturing,Pharmaceutical And Medicine Manufacturing,Low,101-500,Unavailable,2026-06-10 11:46:16,Not Applicable,,,Delegate consented to badge scan,Accepted
Badge Scan,Cascade Solutions,Sharon Robinson,SOC Analyst,sharon.robinson@cascadesolut.co,(334) 215-6869,3998 Washington Ave,Phoenix,AZ,United States  ,85001,Pharmaceutical And Medicine Manufacturing,Pharmaceutical And Medicine Manufacturing,Medium,1-100,$10M-$50M,2026-06-10 12:49:51,Defensive AI Security Panel,,,Delegate consented to badge scan,Accepted
Badge Scan,Iron Gate Tech,Steven Patel,Chief Privacy Officer,stevenp@irongatetech.com,+65 326-1710,8643 Lake St,Bangalore,Karnataka,India,560001,Depository Credit Intermediation,Depository Credit Intermediation,High,1-100,Less Than $1M,2026-06-10 16:43:10,XDR Platform Overview,,,Delegate acknowledged event terms,Acknowledged
Content Download,Eclipse Security,Joyce Mendoza,VP Engineering,joyce@eclipsesecur.com,+80 748-9984,5427 Forest Ave,Melbourne,VIC,Australia,3000,Depository Credit Intermediation,Depository Credit Intermediation,Very High,5K-10K,More Than $10B,2026-06-10 17:12:11,Not Applicable,,,Delegate consented to badge scan,Accepted
Exhibitor Bookmarked,Lunar Labs,Douglas Gonzalez,IAM Specialist,douglasg@lunarlabs.net,(947) 297-6120,7092 Hill Rd,Atlanta,GA,United States  ,30301,Activities Related To Credit Intermediation,Activities Related To Credit Intermediation,Medium,10K-50K,$10M-$50M,2026-06-10 16:38:01,Hacking The AI Stack: Live Red Team Demo,,,Delegate acknowledged event terms,Acknowledged
Badge Scan,Pinnacle Software,Nancy Hernandez,Endpoint Security Engineer,nancy@pinnaclesoft.co,+86 225-7730,5893 Mission St,Seoul,Seoul,South Korea,04524,"Data Processing, Hosting, And Related Services","Data Processing, Hosting, And Related Services",Very Low,5K-10K,$100M-$500M,2026-06-10 14:24:05,Hacking The AI Stack: Live Red Team Demo,,,Delegate consented to badge scan,Accepted
Content Download,Polaris AI,Madison Cook,Network Security Engineer,mcook@polarisai.org,(639) 774-1430,4481 Main St,Phoenix,AZ,United States  ,85001,"Securities, Commodity Contracts, And Other Financial Investments","Securities, Commodity Contracts, And Other Financial Investments",Low,5K-10K,$100M-$500M,2026-06-10 14:11:10,Cloud Security Posture Management Demo,,,Delegate consented to badge scan,Accepted
Content Download,Sentinel Corp,Mary White,Deputy CISO,maryw@sentinelcorp.net,(664) 549-3578,6162 Lake St,Mesa,AZ,United States  ,85201,Depository Credit Intermediation,Depository Credit Intermediation,Medium,101-500,Less Than $1M,2026-06-10 10:49:56,"Research, News, And Perspectives",,,Delegate consented to badge scan,Accepted
Content Download,Pinnacle Software,Richard Gray,Security Awareness Manager,richard.gray@pinnaclesoft.net,+45 540-2816,4740 Washington Ave,London,England,United Kingdom Of Great Britain And Northern Ireland (The),EC1,Activities Related To Credit Intermediation,Activities Related To Credit Intermediation,High,5K-10K,Less Than $1M,2026-06-10 12:00:51,XDR Platform Overview,,,Delegate acknowledged event terms,Acknowledged
Exhibitor Bookmarked,Polaris AI,Joseph Smith,IT Director,josephs@polarisai.net,+23 232-7229,8825 Cedar Blvd,Paris,Ile-de-France,France,75001,"Management, Scientific, And Technical Consulting Services","Management, Scientific, And Technical Consulting Services",Very High,10K-50K,$1M-$10M,2026-06-10 15:13:42,Defensive AI Security Panel,,,Delegate acknowledged event terms,Acknowledged
Product View,Sapphire Systems,Virginia Williams,Email Security Analyst,virginiaw@sapphiresyst.com,(221) 532-3815,7638 Valley Dr,Seattle,WA,United States  ,98101,Scientific Research And Development Services,Scientific Research And Development Services,Very Low,50K+,$1M-$10M,2026-06-10 12:25:45,XDR Platform Overview,,,Delegate acknowledged event terms,Acknowledged
Product View,Pinnacle Software,Aaron Ortiz,Security Consultant,aortiz@pinnaclesoft.com,+45 459-3419,3971 Harbor Dr,Amsterdam,North Holland,Netherlands,1012,Wired And Wireless Telecommunications Carriers,Wired And Wireless Telecommunications Carriers,Low,5K-10K,$50M-$100M,2026-06-10 11:09:30,Not Applicable,,,Delegate consented to badge scan,Accepted
Exhibitor Bookmarked,Peak Solutions,Donna Ross,Email Security Analyst,donna@peaksolution.co,(842) 523-3473,7305 Elm St,Seattle,WA,United States  ,98101,"Electric Power Generation, Transmission And Distribution","Electric Power Generation, Transmission And Distribution",High,Unavailable,$100M-$500M,2026-06-10 13:00:01,Not Applicable,,,Delegate acknowledged event terms,Acknowledged
Product View,Stratos Computing,Joseph Rivera,VP of Security,joseph.rivera@stratoscompu.com,(829) 808-9307,6399 Market St,Seattle,WA,United States  ,98101,General Medical And Surgical Hospitals,General Medical And Surgical Hospitals,Very High,1-100,More Than $10B,2026-06-10 11:25:36,Cloud Security Posture Management Demo,,,Delegate acknowledged event terms,Acknowledged
Content Download,Sentinel Corp,Joan Cook,Cloud Security Engineer,joanc@sentinelcorp.io,(649) 736-9564,2700 Valley Dr,Austin,TX,United States  ,78701,Educational Services,Educational Services,Medium,5K-10K,$1B-$10B,2026-06-10 15:26:29,Cloud Security Posture Management Demo,,,Delegate acknowledged event terms,Acknowledged
Badge Scan,Ember Technologies,Susan Watson,Endpoint Security Engineer,swatson@embertechnol.org,+43 183-3317,5831 Lake St,Sydney,NSW,Australia,2000,Wired And Wireless Telecommunications Carriers,Wired And Wireless Telecommunications Carriers,High,501-1K,$1M-$10M,2026-06-10 13:38:08,Container Security Workshop,,,Delegate consented to badge scan,Accepted
Badge Scan,Cascade Solutions,Dennis Chavez,Deputy CISO,dennis@cascadesolut.io,(984) 697-4145,3811 River Rd,Portland,OR,United States  ,97201,Activities Related To Credit Intermediation,Activities Related To Credit Intermediation,Low,101-500,$100M-$500M,2026-06-10 09:50:28,Container Security Workshop,,,Delegate acknowledged event terms,Acknowledged
Product View,Onyx Security,Gerald Patel,Security Awareness Manager,gpatel@onyxsecurity.io,(938) 648-1715,6831 Valley Dr,Chicago,IL,United States  ,60601,Motor Vehicle Manufacturing,Motor Vehicle Manufacturing,Low,Unavailable,$100M-$500M,2026-06-10 16:10:20,AI-Powered SOC Walkthrough,,,Delegate consented to badge scan,Accepted
Exhibitor Bookmarked,Prism Networks,Sean Walker,Data Protection Officer,seanw@prismnetwork.co,+21 936-4271,2367 Park Ave,Zurich,Zurich,Switzerland,8001,"Data Processing, Hosting, And Related Services","Data Processing, Hosting, And Related Services",Very Low,Unavailable,$500M-$1B,2026-06-10 09:52:03,Container Security Workshop,,,Delegate acknowledged event terms,Acknowledged
Product View,Pinnacle Software,Ashley Torres,Blue Team Lead,ashley.torres@pinnaclesoft.com,(624) 254-7495,8324 Valley Dr,Dallas,TX,United States  ,75201,General Medical And Surgical Hospitals,General Medical And Surgical Hospitals,Low,50K+,$1M-$10M,2026-06-10 14:49:30,AI-Powered SOC Walkthrough,,,Delegate consented to badge scan,Accepted
Exhibitor Bookmarked,Eclipse Security,Linda Green,IT Director,linda.green@eclipsesecur.net,+11 119-5193,3633 River Rd,Sydney,NSW,Australia,2000,"Management, Scientific, And Technical Consulting Services","Management, Scientific, And Technical Consulting Services",Very High,50K+,$1M-$10M,2026-06-10 13:14:41,AI-Powered SOC Walkthrough,,,Delegate consented to badge scan,Accepted
Content Download,Quantum Systems,Nicole Thomas,Security Architect,nicole.thomas@quantumsyste.com,(847) 727-4963,2452 Lake St,Toronto,Ontario,Canada,M5A,Motor Vehicle Manufacturing,Motor Vehicle Manufacturing,High,1-100,$500M-$1B,2026-06-10 12:22:45,Not Applicable,,,Delegate acknowledged event terms,Acknowledged
Product View,Coral Systems,Nathan White,Forensics Analyst,nathan@coralsystems.net,(965) 216-6850,1206 Valley Dr,Boston,MA,United States  ,02101,Depository Credit Intermediation,Depository Credit Intermediation,Low,101-500,$500M-$1B,2026-06-10 10:25:43,Defensive AI Security Panel,,,Delegate consented to badge scan,Accepted
Content Download,Cascade Solutions,Patrick Cooper,SOC Analyst,pcooper@cascadesolut.net,(244) 404-1686,5270 Lake St,Miami,FL,United States  ,33101,"Electric Power Generation, Transmission And Distribution","Electric Power Generation, Transmission And Distribution",Very High,50K+,Unavailable,2026-06-10 16:37:04,Zero Trust Architecture Deep Dive,,,Delegate consented to badge scan,Accepted
